REF_DATE	GEO	National Occupational Classification (NOC)	VALUE
2006	New Brunswick	Service support and other service occupations, n.e.c. [67]	19.3
2006	New Brunswick	Trades, transport and equipment operators and related occupations [7]	54.8
2006	New Brunswick	Industrial, electrical and construction trades [72]	17.6
2006	New Brunswick	Maintenance and equipment operation trades [73]	13.8
2006	New Brunswick	Other installers, repairers and servicers and material handlers [74]	5
2006	New Brunswick	Transport and heavy equipment operation and related maintenance occupations [75]	15.1
2006	New Brunswick	Trades helpers, construction labourers and related occupations [76]	3.3
2006	New Brunswick	Natural resources, agriculture and related production occupations [8]	10.5
2006	New Brunswick	Supervisors and technical occupations in natural resources, agriculture and related production [82]	4.4
2006	New Brunswick	Workers in natural resources, agriculture and related production [84]	4
2006	New Brunswick	Harvesting, landscaping and natural resources labourers [86]	2.1
2006	New Brunswick	Occupations in manufacturing and utilities [9]	20
2006	New Brunswick	Processing, manufacturing and utilities supervisors and central control operators [92]	4.4
2006	New Brunswick	Processing and manufacturing machine operators and related production workers [94]	9.1
2006	New Brunswick	Assemblers in manufacturing [95]	2
2006	New Brunswick	Labourers in processing, manufacturing and utilities [96]	4.5
2006	Quebec	Total employed, all occupations	3736
2006	Quebec	Management occupations [0]	355.1
2006	Quebec	Senior management occupations [00]	17.8
2006	Quebec	Specialized middle management occupations [01-05]	94.1
2006	Quebec	Middle management occupations in retail and wholesale trade and customer services [06]	139.8
2006	Quebec	Middle management occupations in trades, transportation, production and utilities [07-09]	103.4
2006	Quebec	Business, finance and administration occupations [1]	618.4
2006	Quebec	Professional occupations in business and finance [11]	127.4
2006	Quebec	Administrative and financial supervisors and administrative occupations [12]	174
2006	Quebec	Finance, insurance and related business administrative occupations [13]	35.7
2006	Quebec	Office support occupations [14]	209.6
2006	Quebec	Distribution, tracking and scheduling co-ordination occupations [15]	71.8
2006	Quebec	Natural and applied sciences and related occupations [2]	260.4
2006	Quebec	Professional occupations in natural and applied sciences [21]	132.1
2006	Quebec	Technical occupations related to natural and applied sciences [22]	128.3
2006	Quebec	Health occupations [3]	239.6
2006	Quebec	Professional occupations in nursing [30]	58
2006	Quebec	Professional occupations in health (except nursing) [31]	55.8
2006	Quebec	Technical occupations in health [32]	64.1
2006	Quebec	Assisting occupations in support of health services [34]	61.7
2006	Quebec	Occupations in education, law and social, community and government services [4]	399.5
2006	Quebec	Professional occupations in education services [40]	159.7
2006	Quebec	Professional occupations in law and social, community and government services [41]	84.2
2006	Quebec	Paraprofessional occupations in legal, social, community and education services [42]	99.8
2006	Quebec	Occupations in front-line public protection services [43]	22
2006	Quebec	Care providers and educational, legal and public protection support occupations [44]	33.7
2006	Quebec	Occupations in art, culture, recreation and sport [5]	116.2
2006	Quebec	Professional occupations in art and culture [51]	41
2006	Quebec	Technical occupations in art, culture, recreation and sport [52]	75.2
2006	Quebec	Sales and service occupations [6]	908.2
2006	Quebec	Retail sales supervisors and specialized sales occupations [62]	104.8
2006	Quebec	Service supervisors and specialized service occupations [63]	120.3
2006	Quebec	Sales representatives and salespersons - wholesale and retail trade [64]	181.5
2006	Quebec	Service representatives and other customer and personal services occupations [65]	187.2
2006	Quebec	Sales support occupations [66]	135
2006	Quebec	Service support and other service occupations, n.e.c. [67]	179.4
2006	Quebec	Trades, transport and equipment operators and related occupations [7]	511
2006	Quebec	Industrial, electrical and construction trades [72]	165.3
2006	Quebec	Maintenance and equipment operation trades [73]	130.2
2006	Quebec	Other installers, repairers and servicers and material handlers [74]	59.1
2006	Quebec	Transport and heavy equipment operation and related maintenance occupations [75]	133.5
2006	Quebec	Trades helpers, construction labourers and related occupations [76]	23
2006	Quebec	Natural resources, agriculture and related production occupations [8]	62
2006	Quebec	Supervisors and technical occupations in natural resources, agriculture and related production [82]	21.7
2006	Quebec	Workers in natural resources, agriculture and related production [84]	22.3
2006	Quebec	Harvesting, landscaping and natural resources labourers [86]	18.1
2006	Quebec	Occupations in manufacturing and utilities [9]	265.6
2006	Quebec	Processing, manufacturing and utilities supervisors and central control operators [92]	44.8
2006	Quebec	Processing and manufacturing machine operators and related production workers [94]	111.1
2006	Quebec	Assemblers in manufacturing [95]	54.4
2006	Quebec	Labourers in processing, manufacturing and utilities [96]	55.3
2006	Ontario	Total employed, all occupations	6449
2006	Ontario	Management occupations [0]	698.7
2006	Ontario	Senior management occupations [00]	47.7
2006	Ontario	Specialized middle management occupations [01-05]	209.4
2006	Ontario	Middle management occupations in retail and wholesale trade and customer services [06]	265.9
2006	Ontario	Middle management occupations in trades, transportation, production and utilities [07-09]	175.7
2006	Ontario	Business, finance and administration occupations [1]	1092.4
2006	Ontario	Professional occupations in business and finance [11]	242.9
2006	Ontario	Administrative and financial supervisors and administrative occupations [12]	278.2
2006	Ontario	Finance, insurance and related business administrative occupations [13]	72
2006	Ontario	Office support occupations [14]	359.2
2006	Ontario	Distribution, tracking and scheduling co-ordination occupations [15]	140.1
2006	Ontario	Natural and applied sciences and related occupations [2]	464.7
2006	Ontario	Professional occupations in natural and applied sciences [21]	273.7
2006	Ontario	Technical occupations related to natural and applied sciences [22]	191
2006	Ontario	Health occupations [3]	352.1
2006	Ontario	Professional occupations in nursing [30]	87
2006	Ontario	Professional occupations in health (except nursing) [31]	79.9
2006	Ontario	Technical occupations in health [32]	93.2
2006	Ontario	Assisting occupations in support of health services [34]	92
2006	Ontario	Occupations in education, law and social, community and government services [4]	636.3
2006	Ontario	Professional occupations in education services [40]	261.7
2006	Ontario	Professional occupations in law and social, community and government services [41]	140.6
2006	Ontario	Paraprofessional occupations in legal, social, community and education services [42]	120.4
2006	Ontario	Occupations in front-line public protection services [43]	38.8
2006	Ontario	Care providers and educational, legal and public protection support occupations [44]	74.7
2006	Ontario	Occupations in art, culture, recreation and sport [5]	185.2
2006	Ontario	Professional occupations in art and culture [51]	71.4
2006	Ontario	Technical occupations in art, culture, recreation and sport [52]	113.8
2006	Ontario	Sales and service occupations [6]	1532.1
2006	Ontario	Retail sales supervisors and specialized sales occupations [62]	191.6
2006	Ontario	Service supervisors and specialized service occupations [63]	200.9
2006	Ontario	Sales representatives and salespersons - wholesale and retail trade [64]	297.5
2006	Ontario	Service representatives and other customer and personal services occupations [65]	306.2
2006	Ontario	Sales support occupations [66]	225.4
2006	Ontario	Service support and other service occupations, n.e.c. [67]	310.4
2006	Ontario	Trades, transport and equipment operators and related occupations [7]	884.4
2006	Ontario	Industrial, electrical and construction trades [72]	309.6
2006	Ontario	Maintenance and equipment operation trades [73]	198.7
2006	Ontario	Other installers, repairers and servicers and material handlers [74]	104.9
2006	Ontario	Transport and heavy equipment operation and related maintenance occupations [75]	219.3
2006	Ontario	Trades helpers, construction labourers and related occupations [76]	51.9
2006	Ontario	Natural resources, agriculture and related production occupations [8]	107.6
2006	Ontario	Supervisors and technical occupations in natural resources, agriculture and related production [82]	34.3
2006	Ontario	Workers in natural resources, agriculture and related production [84]	40.6
2006	Ontario	Harvesting, landscaping and natural resources labourers [86]	32.6
2006	Ontario	Occupations in manufacturing and utilities [9]	495.5
2006	Ontario	Processing, manufacturing and utilities supervisors and central control operators [92]	74.8
2006	Ontario	Processing and manufacturing machine operators and related production workers [94]	211.2
2006	Ontario	Assemblers in manufacturing [95]	119.7
2006	Ontario	Labourers in processing, manufacturing and utilities [96]	89.8
2006	Manitoba	Total employed, all occupations	582.5
2006	Manitoba	Management occupations [0]	62.3
2006	Manitoba	Senior management occupations [00]	1.8
2006	Manitoba	Specialized middle management occupations [01-05]	12.8
2006	Manitoba	Middle management occupations in retail and wholesale trade and customer services [06]	19.8
2006	Manitoba	Middle management occupations in trades, transportation, production and utilities [07-09]	27.9
2006	Manitoba	Business, finance and administration occupations [1]	94
2006	Manitoba	Professional occupations in business and finance [11]	16.3
2006	Manitoba	Administrative and financial supervisors and administrative occupations [12]	21.2
2006	Manitoba	Finance, insurance and related business administrative occupations [13]	7.9
2006	Manitoba	Office support occupations [14]	36.1
2006	Manitoba	Distribution, tracking and scheduling co-ordination occupations [15]	12.4
2006	Manitoba	Natural and applied sciences and related occupations [2]	27.7
2006	Manitoba	Professional occupations in natural and applied sciences [21]	13.4
2006	Manitoba	Technical occupations related to natural and applied sciences [22]	14.3
2006	Manitoba	Health occupations [3]	44.1
2006	Manitoba	Professional occupations in nursing [30]	10.7
2006	Manitoba	Professional occupations in health (except nursing) [31]	8.6
2006	Manitoba	Technical occupations in health [32]	10.8
2006	Manitoba	Assisting occupations in support of health services [34]	14.1
2006	Manitoba	Occupations in education, law and social, community and government services [4]	66
2006	Manitoba	Professional occupations in education services [40]	23.7
2006	Manitoba	Professional occupations in law and social, community and government services [41]	11.6
2006	Manitoba	Paraprofessional occupations in legal, social, community and education services [42]	14.2
2006	Manitoba	Occupations in front-line public protection services [43]	2.9
2006	Manitoba	Care providers and educational, legal and public protection support occupations [44]	13.5
2006	Manitoba	Occupations in art, culture, recreation and sport [5]	14.2
2006	Manitoba	Professional occupations in art and culture [51]	5
2006	Manitoba	Technical occupations in art, culture, recreation and sport [52]	9.2
2006	Manitoba	Sales and service occupations [6]	139.5
2006	Manitoba	Retail sales supervisors and specialized sales occupations [62]	15.1
2006	Manitoba	Service supervisors and specialized service occupations [63]	19.2
2006	Manitoba	Sales representatives and salespersons - wholesale and retail trade [64]	26.3
2006	Manitoba	Service representatives and other customer and personal services occupations [65]	27.7
2006	Manitoba	Sales support occupations [66]	19.7
2006	Manitoba	Service support and other service occupations, n.e.c. [67]	31.5
2006	Manitoba	Trades, transport and equipment operators and related occupations [7]	84.2
2006	Manitoba	Industrial, electrical and construction trades [72]	27.6
2006	Manitoba	Maintenance and equipment operation trades [73]	21.9
2006	Manitoba	Other installers, repairers and servicers and material handlers [74]	6.4
2006	Manitoba	Transport and heavy equipment operation and related maintenance occupations [75]	24
2006	Manitoba	Trades helpers, construction labourers and related occupations [76]	4.2
2006	Manitoba	Natural resources, agriculture and related production occupations [8]	14.2
2006	Manitoba	Supervisors and technical occupations in natural resources, agriculture and related production [82]	4.5
2006	Manitoba	Workers in natural resources, agriculture and related production [84]	7
2006	Manitoba	Harvesting, landscaping and natural resources labourers [86]	2.7
2006	Manitoba	Occupations in manufacturing and utilities [9]	36.3
2006	Manitoba	Processing, manufacturing and utilities supervisors and central control operators [92]	5.5
2006	Manitoba	Processing and manufacturing machine operators and related production workers [94]	13.8
2006	Manitoba	Assemblers in manufacturing [95]	10.4
2006	Manitoba	Labourers in processing, manufacturing and utilities [96]	6.5
2006	Saskatchewan	Total employed, all occupations	489.9
2006	Saskatchewan	Management occupations [0]	73
2006	Saskatchewan	Senior management occupations [00]	1.7
2006	Saskatchewan	Specialized middle management occupations [01-05]	9.6
2006	Saskatchewan	Middle management occupations in retail and wholesale trade and customer services [06]	18.9
2006	Saskatchewan	Middle management occupations in trades, transportation, production and utilities [07-09]	42.8
